feature,bucket,positions,raw_percent,games_touching,games_percent,game_maximum,eligible,training_percent,expected_after_skip,eligible_games
-1,0-13 (none),1044203,91.301307,9992,99.920000,5657,686198,89.410400,343099.000000,9967
0,14-21,35176,3.075661,4326,43.260000,2202,28080,3.658775,14040.000000,4034
1,22-29,16944,1.481522,2128,21.280000,785,13789,1.796683,6894.500000,2036
2,30-37,10801,0.944400,1344,13.440000,350,8904,1.160176,4452.000000,1308
3,38-45,8102,0.708409,996,9.960000,210,6738,0.877950,3369.000000,977
4,46-53,6500,0.568336,788,7.880000,122,5410,0.704914,2705.000000,784
5,54-61,5665,0.495327,667,6.670000,64,4758,0.619959,2379.000000,665
6,62-69,5113,0.447062,603,6.030000,50,4287,0.558589,2143.500000,595
7,70-77,4591,0.401420,554,5.540000,72,3875,0.504906,1937.500000,546
8,78-85,3896,0.340652,483,4.830000,103,3282,0.427639,1641.000000,481
9,86-93,2313,0.202240,380,3.800000,261,1859,0.242224,929.500000,371
10,94+,385,0.033663,120,1.200000,120,290,0.037786,145.000000,104
