perspective,king_bucket,hmc_feature,input_index,eligible,expected_after_skip
stm,0,0,0,825,412.5
stm,0,1,1,320,160.0
stm,0,2,2,169,84.5
stm,0,3,3,106,53.0
stm,0,4,4,69,34.5
stm,0,5,5,52,26.0
stm,0,6,6,50,25.0
stm,0,7,7,46,23.0
stm,0,8,8,35,17.5
stm,0,9,9,10,5.0
stm,0,10,10,5,2.5
stm,1,0,11,2156,1078.0
stm,1,1,12,669,334.5
stm,1,2,13,307,153.5
stm,1,3,14,183,91.5
stm,1,4,15,166,83.0
stm,1,5,16,123,61.5
stm,1,6,17,113,56.5
stm,1,7,18,99,49.5
stm,1,8,19,61,30.5
stm,1,9,20,43,21.5
stm,1,10,21,7,3.5
stm,2,0,22,1048,524.0
stm,2,1,23,417,208.5
stm,2,2,24,226,113.0
stm,2,3,25,181,90.5
stm,2,4,26,116,58.0
stm,2,5,27,104,52.0
stm,2,6,28,81,40.5
stm,2,7,29,99,49.5
stm,2,8,30,72,36.0
stm,2,9,31,43,21.5
stm,2,10,32,8,4.0
stm,3,0,33,717,358.5
stm,3,1,34,298,149.0
stm,3,2,35,193,96.5
stm,3,3,36,157,78.5
stm,3,4,37,98,49.0
stm,3,5,38,83,41.5
stm,3,6,39,74,37.0
stm,3,7,40,68,34.0
stm,3,8,41,60,30.0
stm,3,9,42,28,14.0
stm,3,10,43,7,3.5
stm,4,0,44,1739,869.5
stm,4,1,45,664,332.0
stm,4,2,46,365,182.5
stm,4,3,47,252,126.0
stm,4,4,48,154,77.0
stm,4,5,49,117,58.5
stm,4,6,50,107,53.5
stm,4,7,51,103,51.5
stm,4,8,52,74,37.0
stm,4,9,53,54,27.0
stm,4,10,54,8,4.0
stm,5,0,55,2367,1183.5
stm,5,1,56,1038,519.0
stm,5,2,57,589,294.5
stm,5,3,58,421,210.5
stm,5,4,59,297,148.5
stm,5,5,60,259,129.5
stm,5,6,61,182,91.0
stm,5,7,62,155,77.5
stm,5,8,63,118,59.0
stm,5,9,64,82,41.0
stm,5,10,65,14,7.0
stm,6,0,66,1873,936.5
stm,6,1,67,803,401.5
stm,6,2,68,460,230.0
stm,6,3,69,341,170.5
stm,6,4,70,282,141.0
stm,6,5,71,198,99.0
stm,6,6,72,207,103.5
stm,6,7,73,143,71.5
stm,6,8,74,117,58.5
stm,6,9,75,75,37.5
stm,6,10,76,12,6.0
stm,7,0,77,1896,948.0
stm,7,1,78,906,453.0
stm,7,2,79,580,290.0
stm,7,3,80,424,212.0
stm,7,4,81,290,145.0
stm,7,5,82,244,122.0
stm,7,6,83,207,103.5
stm,7,7,84,160,80.0
stm,7,8,85,147,73.5
stm,7,9,86,80,40.0
stm,7,10,87,12,6.0
stm,8,0,88,2597,1298.5
stm,8,1,89,1270,635.0
stm,8,2,90,782,391.0
stm,8,3,91,492,246.0
stm,8,4,92,399,199.5
stm,8,5,93,332,166.0
stm,8,6,94,264,132.0
stm,8,7,95,206,103.0
stm,8,8,96,165,82.5
stm,8,9,97,103,51.5
stm,8,10,98,22,11.0
stm,9,0,99,3852,1926.0
stm,9,1,100,1891,945.5
stm,9,2,101,1214,607.0
stm,9,3,102,884,442.0
stm,9,4,103,732,366.0
stm,9,5,104,703,351.5
stm,9,6,105,611,305.5
stm,9,7,106,545,272.5
stm,9,8,107,447,223.5
stm,9,9,108,226,113.0
stm,9,10,109,31,15.5
stm,10,0,110,1403,701.5
stm,10,1,111,720,360.0
stm,10,2,112,458,229.0
stm,10,3,113,345,172.5
stm,10,4,114,243,121.5
stm,10,5,115,206,103.0
stm,10,6,116,215,107.5
stm,10,7,117,195,97.5
stm,10,8,118,204,102.0
stm,10,9,119,102,51.0
stm,10,10,120,13,6.5
stm,11,0,121,2664,1332.0
stm,11,1,122,1526,763.0
stm,11,2,123,1023,511.5
stm,11,3,124,816,408.0
stm,11,4,125,739,369.5
stm,11,5,126,638,319.0
stm,11,6,127,572,286.0
stm,11,7,128,559,279.5
stm,11,8,129,483,241.5
stm,11,9,130,278,139.0
stm,11,10,131,35,17.5
stm,12,0,132,2611,1305.5
stm,12,1,133,1584,792.0
stm,12,2,134,1191,595.5
stm,12,3,135,1111,555.5
stm,12,4,136,928,464.0
stm,12,5,137,854,427.0
stm,12,6,138,815,407.5
stm,12,7,139,774,387.0
stm,12,8,140,642,321.0
stm,12,9,141,353,176.5
stm,12,10,142,47,23.5
stm,13,0,143,1384,692.0
stm,13,1,144,1033,516.5
stm,13,2,145,807,403.5
stm,13,3,146,634,317.0
stm,13,4,147,543,271.5
stm,13,5,148,499,249.5
stm,13,6,149,441,220.5
stm,13,7,150,422,211.0
stm,13,8,151,382,191.0
stm,13,9,152,200,100.0
stm,13,10,153,40,20.0
stm,14,0,154,649,324.5
stm,14,1,155,453,226.5
stm,14,2,156,379,189.5
stm,14,3,157,272,136.0
stm,14,4,158,245,122.5
stm,14,5,159,253,126.5
stm,14,6,160,256,128.0
stm,14,7,161,226,113.0
stm,14,8,162,201,100.5
stm,14,9,163,133,66.5
stm,14,10,164,22,11.0
stm,15,0,165,299,149.5
stm,15,1,166,197,98.5
stm,15,2,167,161,80.5
stm,15,3,168,119,59.5
stm,15,4,169,109,54.5
stm,15,5,170,93,46.5
stm,15,6,171,92,46.0
stm,15,7,172,75,37.5
stm,15,8,173,74,37.0
stm,15,9,174,49,24.5
stm,15,10,175,7,3.5
ntm,0,0,0,760,380.0
ntm,0,1,1,302,151.0
ntm,0,2,2,161,80.5
ntm,0,3,3,104,52.0
ntm,0,4,4,67,33.5
ntm,0,5,5,55,27.5
ntm,0,6,6,59,29.5
ntm,0,7,7,52,26.0
ntm,0,8,8,40,20.0
ntm,0,9,9,11,5.5
ntm,0,10,10,4,2.0
ntm,1,0,11,2042,1021.0
ntm,1,1,12,590,295.0
ntm,1,2,13,299,149.5
ntm,1,3,14,179,89.5
ntm,1,4,15,168,84.0
ntm,1,5,16,127,63.5
ntm,1,6,17,112,56.0
ntm,1,7,18,95,47.5
ntm,1,8,19,62,31.0
ntm,1,9,20,38,19.0
ntm,1,10,21,8,4.0
ntm,2,0,22,1057,528.5
ntm,2,1,23,429,214.5
ntm,2,2,24,230,115.0
ntm,2,3,25,165,82.5
ntm,2,4,26,112,56.0
ntm,2,5,27,95,47.5
ntm,2,6,28,88,44.0
ntm,2,7,29,99,49.5
ntm,2,8,30,67,33.5
ntm,2,9,31,43,21.5
ntm,2,10,32,9,4.5
ntm,3,0,33,708,354.0
ntm,3,1,34,306,153.0
ntm,3,2,35,198,99.0
ntm,3,3,36,164,82.0
ntm,3,4,37,104,52.0
ntm,3,5,38,87,43.5
ntm,3,6,39,72,36.0
ntm,3,7,40,70,35.0
ntm,3,8,41,66,33.0
ntm,3,9,42,30,15.0
ntm,3,10,43,6,3.0
ntm,4,0,44,1529,764.5
ntm,4,1,45,587,293.5
ntm,4,2,46,314,157.0
ntm,4,3,47,226,113.0
ntm,4,4,48,143,71.5
ntm,4,5,49,114,57.0
ntm,4,6,50,108,54.0
ntm,4,7,51,107,53.5
ntm,4,8,52,70,35.0
ntm,4,9,53,52,26.0
ntm,4,10,54,6,3.0
ntm,5,0,55,2308,1154.0
ntm,5,1,56,1007,503.5
ntm,5,2,57,549,274.5
ntm,5,3,58,404,202.0
ntm,5,4,59,250,125.0
ntm,5,5,60,251,125.5
ntm,5,6,61,182,91.0
ntm,5,7,62,146,73.0
ntm,5,8,63,116,58.0
ntm,5,9,64,79,39.5
ntm,5,10,65,14,7.0
ntm,6,0,66,1895,947.5
ntm,6,1,67,814,407.0
ntm,6,2,68,488,244.0
ntm,6,3,69,357,178.5
ntm,6,4,70,290,145.0
ntm,6,5,71,218,109.0
ntm,6,6,72,228,114.0
ntm,6,7,73,165,82.5
ntm,6,8,74,130,65.0
ntm,6,9,75,81,40.5
ntm,6,10,76,16,8.0
ntm,7,0,77,1944,972.0
ntm,7,1,78,914,457.0
ntm,7,2,79,585,292.5
ntm,7,3,80,441,220.5
ntm,7,4,81,301,150.5
ntm,7,5,82,271,135.5
ntm,7,6,83,205,102.5
ntm,7,7,84,180,90.0
ntm,7,8,85,160,80.0
ntm,7,9,86,83,41.5
ntm,7,10,87,11,5.5
ntm,8,0,88,2526,1263.0
